,time,ratio,hk,dk,ak,result,hk_ratio_diff,dk_ratio_diff,ak_ratio_diff,hk_avg_1H,dk_avg_1H,ak_avg_1H
count,482276,482276.0,482276.0,482276.0,482276.0,482276.0,482276.0,482276.0,482276.0,482276.0,482276.0,482276.0
mean,2018-09-11 08:03:02.800470528,0.9504327335384714,0.942525151572958,0.9515662400782955,0.9536751776990766,0.03375453060073485,-0.00790758196551353,0.001133506539823663,0.003242444160605129,-0.007961606962282451,0.0011020256835677063,0.003347899064032459
min,2018-06-14 16:28:00,0.6993,0.16,0.31,0.1,-1.0,-0.7066,-0.6035,-0.8135,-0.7066,-0.37260000000000004,-0.6072
25%,2018-08-20 01:46:00,0.9385,0.91,0.92,0.91,-1.0,-0.0393,-0.020499999999999963,-0.03379999999999994,-0.0365934375,-0.015452941176470588,-0.027363798701298694
50%,2018-09-14 16:19:00,0.9509,0.95,0.96,0.96,0.0,-0.0038999999999999035,0.0014999999999999458,0.0040000000000000036,-0.003022335600907064,0.000814817136886097,0.004474999999999993
75%,2018-10-01 14:15:00,0.9627,0.98,0.98,1.0,1.0,0.02400000000000002,0.02529999999999999,0.041099999999999914,0.020568591994382025,0.019208004385964907,0.03589999999999993
max,2018-10-30 04:00:00,1.0727,1.62,1.48,4.91,1.0,0.6665000000000001,0.5357,3.9916,0.4891,0.5348999999999999,3.0634
std,,0.02165283862822227,0.07002441156885651,0.05912288451452654,0.0959310142048244,0.8847301373220281,0.06591683146917986,0.05216593930809597,0.09066747234829,0.059884852290686304,0.04372288794137058,0.0769320757306239
